phone_number,filter_reason,confidence
+18338778739,toll_free,99%
+18338818662,toll_free,99%
+18338832380,toll_free,99%
+18338855315,toll_free,99%
+18338865429,toll_free,99%
+18338904262,toll_free,99%
+18338953058,toll_free,99%
+18339061339,toll_free,99%
+18339064142,toll_free,99%
+18339073430,toll_free,99%
+18339212959,toll_free,99%
+18339215609,toll_free,99%
+18339215647,toll_free,99%
+18339240136,toll_free,99%
+18339284610,toll_free,99%
+18339314161,toll_free,99%
+18339315707,toll_free,99%
+18339411565,toll_free,99%
+18339458788,toll_free,99%
+18339551376,toll_free,99%
+18339590885,toll_free,99%
+18339611900,toll_free,99%
+18339611963,toll_free,99%
+18339780537,toll_free,99%
+18339785951,toll_free,99%
+18339821781,toll_free,99%
+18441238087,toll_free,99%
+18442060090,toll_free,99%
+18442123522,toll_free,99%
+18442156974,toll_free,99%
+18442218185,toll_free,99%
+18442246075,toll_free,99%
+18442247610,toll_free,99%
+18442332941,toll_free,99%
+18442377375,toll_free,99%
+18442397711,toll_free,99%
+18442503312,toll_free,99%
+18442617769,toll_free,99%
+18442634868,toll_free,99%
+18442670801,toll_free,99%
+18442763272,toll_free,99%
+18442848781,toll_free,99%
+18442855279,toll_free,99%
+18442923771,toll_free,99%
+18442937265,toll_free,99%
+18442953376,toll_free,99%
+18443005460,toll_free,99%
+18443040719,toll_free,99%
+18443061524,toll_free,99%
+18443255021,toll_free,99%
+18443258740,toll_free,99%
+18443302020,toll_free,99%
+18443317710,toll_free,99%
+18443325395,toll_free,99%
+18443326405,toll_free,99%
+18443377739,toll_free,99%
+18443407647,toll_free,99%
+18443416378,toll_free,99%
+18443416688,toll_free,99%
+18443429367,toll_free,99%
+18443435929,toll_free,99%
+18443458984,toll_free,99%
+18443575514,toll_free,99%
+18443604130,toll_free,99%
+18443847654,toll_free,99%
+18443975065,toll_free,99%
+18443975799,toll_free,99%
+18444001878,toll_free,99%
+18444007915,toll_free,99%
+18444054320,toll_free,99%
+18444060475,toll_free,99%
+18444100828,toll_free,99%
+18444101916,toll_free,99%
+18444301366,toll_free,99%
+18444340308,toll_free,99%
+18444340590,toll_free,99%
+18444423734,toll_free,99%
+18444429735,toll_free,99%
+18444584300,toll_free,99%
+18444622712,toll_free,99%
+18444727226,toll_free,99%
+18444767291,toll_free,99%
+18444846564,toll_free,99%
+18444902251,toll_free,99%
+18445040414,toll_free,99%
+18445042635,toll_free,99%
+18445070954,toll_free,99%
+18445082286,toll_free,99%
+18445180840,toll_free,99%
+18445200485,toll_free,99%
+18445269266,toll_free,99%
+18445402405,toll_free,99%
+18445496411,toll_free,99%
+18445496417,toll_free,99%
+18445593258,toll_free,99%
+18445622874,toll_free,99%
+18445713744,toll_free,99%
+18445950358,toll_free,99%
+18445990447,toll_free,99%
+18445990451,toll_free,99%
+18446042760,toll_free,99%
+18446059072,toll_free,99%
+18446188034,toll_free,99%
+18446230972,toll_free,99%
+18446325327,toll_free,99%
+18446350866,toll_free,99%
+18446371463,toll_free,99%
+18446398464,toll_free,99%
+18446398657,toll_free,99%
+18446563135,toll_free,99%
+18446588792,toll_free,99%
+18446718158,toll_free,99%
+18446765642,toll_free,99%
+18446790399,toll_free,99%
+18446911420,toll_free,99%
+18446917368,toll_free,99%
+18446987426,toll_free,99%
+18446992776,toll_free,99%
+18447170386,toll_free,99%
+18447187773,toll_free,99%
+18447246665,toll_free,99%
+18447462954,toll_free,99%
+18447462955,toll_free,99%
+18447548485,toll_free,99%
+18447552503,toll_free,99%
+18447572833,toll_free,99%
+18447610531,toll_free,99%
+18447634466,toll_free,99%
+18447710462,toll_free,99%
+18447751420,toll_free,99%
+18447882288,toll_free,99%
+18447883763,toll_free,99%
+18447940134,toll_free,99%
+18447949098,toll_free,99%
+18448085450,toll_free,99%
+18448135619,toll_free,99%
+18448162576,toll_free,99%
+18448174006,toll_free,99%
+18448189513,toll_free,99%
+18448245637,toll_free,99%
+18448255234,toll_free,99%
+18448283312,toll_free,99%
+18448284973,toll_free,99%
+18448368433,toll_free,99%
+18448372262,toll_free,99%
+18448376083,toll_free,99%
+18448394856,toll_free,99%
+18448456395,toll_free,99%
+18448616526,toll_free,99%
+18448618223,toll_free,99%
+18448639314,toll_free,99%
+18448781241,toll_free,99%
+18448865543,toll_free,99%
+18448970405,toll_free,99%
+18449032517,toll_free,99%
+18449087634,toll_free,99%
+18449202854,toll_free,99%
+18449247733,toll_free,99%
+18449266400,toll_free,99%
+18449393229,toll_free,99%
+18449401812,toll_free,99%
+18449603728,toll_free,99%
+18449742569,toll_free,99%
+18449751551,toll_free,99%
+18449931232,toll_free,99%
+18449942048,toll_free,99%
+18449972121,toll_free,99%
+18552017800,toll_free,99%
+18552080020,toll_free,99%
+18552179469,toll_free,99%
+18552257898,toll_free,99%
+18552305999,toll_free,99%
+18552342542,toll_free,99%
+18552490953,toll_free,99%
+18552516944,toll_free,99%
+18552532763,toll_free,99%
+18552628000,toll_free,99%
+18552738419,toll_free,99%
+18552757181,toll_free,99%
+18552794816,toll_free,99%
+18552826330,toll_free,99%
+18552826353,toll_free,99%
+18552860288,toll_free,99%
+18552897260,toll_free,99%
+18552978853,toll_free,99%
+18553025492,toll_free,99%
+18553073887,toll_free,99%
+18553557893,toll_free,99%
+18553559011,toll_free,99%
+18553634905,toll_free,99%
+18554100443,toll_free,99%
+18554247262,toll_free,99%
+18554284733,toll_free,99%
+18554398413,toll_free,99%
+18554399994,toll_free,99%
+18554401079,toll_free,99%
+18554401151,toll_free,99%
+18554401152,toll_free,99%
+18554443388,toll_free,99%
+18554529570,toll_free,99%
+18554586060,toll_free,99%
+18554588110,toll_free,99%
+18554665995,toll_free,99%
+18554667467,toll_free,99%
+18554877134,toll_free,99%
+18554914459,toll_free,99%
+18554951023,toll_free,99%
+18554971882,toll_free,99%
+18555007433,toll_free,99%
+18555051076,toll_free,99%
+18555071001,toll_free,99%
+18555083235,toll_free,99%
+18555085518,toll_free,99%
+18555295676,toll_free,99%
+18555361269,toll_free,99%
+18555481184,toll_free,99%
+18555631590,toll_free,99%
+18555696977,toll_free,99%
+18555846854,toll_free,99%
+18556044268,toll_free,99%
+18556146440,toll_free,99%
+18556256817,toll_free,99%
+18556359272,toll_free,99%
+18556440163,toll_free,99%
+18556593668,toll_free,99%
+18556681639,toll_free,99%
+18556860249,toll_free,99%
+18556934611,toll_free,99%
+18556956894,toll_free,99%
+18557008466,toll_free,99%
+18557028967,toll_free,99%
+18557077328,toll_free,99%
+18557141130,toll_free,99%
+18557284012,toll_free,99%
+18557301564,toll_free,99%
+18557366927,toll_free,99%
+18557500857,toll_free,99%
+18557857830,toll_free,99%
+18557907811,toll_free,99%
+18557941250,toll_free,99%
+18558084077,toll_free,99%
+18558211362,toll_free,99%
+18558262807,toll_free,99%
+18558276948,toll_free,99%
+18558363987,toll_free,99%
+18558612391,toll_free,99%
+18558644284,toll_free,99%
+18558656425,toll_free,99%
+18558794541,toll_free,99%
+18558800343,toll_free,99%
+18558853741,toll_free,99%
+18558868687,toll_free,99%
+18558878483,toll_free,99%
+18558880207,toll_free,99%
+18558961795,toll_free,99%
+18558979700,toll_free,99%
+18558983244,toll_free,99%
+18559081285,toll_free,99%
+18559292228,toll_free,99%
+18559303883,toll_free,99%
+18559362262,toll_free,99%
+18559400738,toll_free,99%
+18559441765,toll_free,99%
+18559486437,toll_free,99%
+18559660872,toll_free,99%
+18559712501,toll_free,99%
+18559731040,toll_free,99%
+18559761012,toll_free,99%
+18559771770,toll_free,99%
+18559979769,toll_free,99%
+18662007073,toll_free,99%
+18662075777,toll_free,99%
+18662183259,toll_free,99%
+18662197745,toll_free,99%
+18662378815,toll_free,99%
+18662520101,toll_free,99%
+18662760723,toll_free,99%
+18662819450,toll_free,99%
+18662837374,toll_free,99%
+18662855661,toll_free,99%
+18662933543,toll_free,99%
+18662978836,toll_free,99%
+18663003239,toll_free,99%
+18663014705,toll_free,99%
+18663037344,toll_free,99%
+18663062168,toll_free,99%
+18663160268,toll_free,99%
+18663165050,toll_free,99%
+18663165056,toll_free,99%
+18663176586,toll_free,99%
+18663279076,toll_free,99%
+18663338018,toll_free,99%
+18663448898,toll_free,99%
+18663474784,toll_free,99%
+18663535060,toll_free,99%
+18663561046,toll_free,99%
+18663566214,toll_free,99%
+18663634128,toll_free,99%
+18663793643,toll_free,99%
+18663884880,toll_free,99%
+18663892727,toll_free,99%
+18663952090,toll_free,99%
+18663982885,toll_free,99%
+18664003282,toll_free,99%
+18664238350,toll_free,99%
+18664274287,toll_free,99%
+18664414637,toll_free,99%
+18664504469,toll_free,99%
+18664658102,toll_free,99%
+18664663876,toll_free,99%
+18664693239,toll_free,99%
+18664931436,toll_free,99%
+18664942111,toll_free,99%
+18664947227,toll_free,99%
+18664997177,toll_free,99%
+18665175348,toll_free,99%
+18665186438,toll_free,99%
+18665289075,toll_free,99%
+18665398117,toll_free,99%
+18665398122,toll_free,99%
+18665522637,toll_free,99%
+18665533481,toll_free,99%
+18665590025,toll_free,99%
+18665672983,toll_free,99%
+18665754108,toll_free,99%
+18665806111,toll_free,99%
+18665827130,toll_free,99%
+18665838119,toll_free,99%
+18665851564,toll_free,99%
+18665932543,toll_free,99%
+18665972424,toll_free,99%
+18666062266,toll_free,99%
+18666182247,toll_free,99%
+18666190245,toll_free,99%
+18666225879,toll_free,99%
+18666237387,toll_free,99%
+18666427917,toll_free,99%
+18666525428,toll_free,99%
+18666548777,toll_free,99%
+18666552736,toll_free,99%
+18666605445,toll_free,99%
+18666666666,toll_free,99%
+18666688047,toll_free,99%
+18666746217,toll_free,99%
+18666750951,toll_free,99%
+18666757783,toll_free,99%
+18666878683,toll_free,99%
+18666879719,toll_free,99%
+18666992179,toll_free,99%
+18667205721,toll_free,99%
+18667380646,toll_free,99%
+18667435700,toll_free,99%
+18667444319,toll_free,99%
+18667457839,toll_free,99%
+18667470858,toll_free,99%
+18667508083,toll_free,99%
+18667567346,toll_free,99%
+18667616563,toll_free,99%
+18667910661,toll_free,99%
+18667919411,toll_free,99%
+18667926668,toll_free,99%
+18667939371,toll_free,99%
+18667942145,toll_free,99%
+18667951512,toll_free,99%
+18667970578,toll_free,99%
+18668234205,toll_free,99%
+18668553970,toll_free,99%
+18668635132,toll_free,99%
+18668666285,toll_free,99%
+18668683692,toll_free,99%
+18668812228,toll_free,99%
+18668900970,toll_free,99%
+18668937723,toll_free,99%
+18668940300,toll_free,99%
+18669051477,toll_free,99%
+18669185858,toll_free,99%
+18669360602,toll_free,99%
+18669362856,toll_free,99%
+18669412211,toll_free,99%
+18669467013,toll_free,99%
+18669626655,toll_free,99%
+18669877873,toll_free,99%
+18669881510,toll_free,99%
+18772010573,toll_free,99%
+18772048821,toll_free,99%
+18772060215,toll_free,99%
+18772115977,toll_free,99%
+18772128158,toll_free,99%
+18772152648,toll_free,99%
+18772164015,toll_free,99%
+18772275511,toll_free,99%
+18772298493,toll_free,99%
+18772301936,toll_free,99%
+18772354205,toll_free,99%
+18772370714,toll_free,99%
+18772412257,toll_free,99%
+18772427372,toll_free,99%
+18772451210,toll_free,99%
+18772552164,toll_free,99%
+18772660891,toll_free,99%
+18772719204,toll_free,99%
+18772753819,toll_free,99%
+18772757265,toll_free,99%
+18772797172,toll_free,99%
+18772906323,toll_free,99%
+18772911624,toll_free,99%
+18772915559,toll_free,99%
+18772940424,toll_free,99%
+18772941898,toll_free,99%
+18772944477,toll_free,99%
+18772946299,toll_free,99%
+18772947640,toll_free,99%
+18773070637,toll_free,99%
+18773092070,toll_free,99%
+18773092073,toll_free,99%
+18773180582,toll_free,99%
+18773237433,toll_free,99%
+18773284538,toll_free,99%
+18773381212,toll_free,99%
+18773500504,toll_free,99%
+18773508806,toll_free,99%
+18773509025,toll_free,99%
+18773526295,toll_free,99%
+18773596582,toll_free,99%
+18773625335,toll_free,99%
+18773690926,toll_free,99%
+18773728597,toll_free,99%
+18773731539,toll_free,99%
+18773758623,toll_free,99%
+18773764749,toll_free,99%
+18773769545,toll_free,99%
+18773792279,toll_free,99%
+18773822304,toll_free,99%
+18773834802,toll_free,99%
+18773986019,toll_free,99%
+18774056114,toll_free,99%
+18774065590,toll_free,99%
+18774110988,toll_free,99%
+18774111034,toll_free,99%
+18774111930,toll_free,99%
+18774136030,toll_free,99%
+18774136641,toll_free,99%
+18774152476,toll_free,99%
+18774252832,toll_free,99%
+18774338036,toll_free,99%
+18774374780,toll_free,99%
+18774428021,toll_free,99%
+18774428801,toll_free,99%
+18774431853,toll_free,99%
+18774436188,toll_free,99%
+18774626342,toll_free,99%
+18774656937,toll_free,99%
+18774748394,toll_free,99%
+18774841968,toll_free,99%
+18774872778,toll_free,99%
+18774925538,toll_free,99%
+18774986815,toll_free,99%
+18775103173,toll_free,99%
+18775129487,toll_free,99%
+18775375277,toll_free,99%
+18775440935,toll_free,99%
+18775454834,toll_free,99%
+18775467595,toll_free,99%
+18775851085,toll_free,99%
+18775857878,toll_free,99%
+18775926264,toll_free,99%
+18775949760,toll_free,99%
+18775958672,toll_free,99%
+18776036819,toll_free,99%
+18776047572,toll_free,99%
+18776061555,toll_free,99%
+18776116342,toll_free,99%
+18776342728,toll_free,99%
+18776364033,toll_free,99%
+18776482964,toll_free,99%
+18776536415,toll_free,99%
+18776684490,toll_free,99%
+18776722882,toll_free,99%
+18776745165,toll_free,99%
+18776845151,toll_free,99%
+18776886794,toll_free,99%
+18776918086,toll_free,99%
+18776925233,toll_free,99%
+18776943367,toll_free,99%
+18776964743,toll_free,99%
+18776997514,toll_free,99%
+18777088329,toll_free,99%
+18777271909,toll_free,99%
+18777287900,toll_free,99%
+18777297946,toll_free,99%
+18777386742,toll_free,99%
+18777518607,toll_free,99%
+18777793436,toll_free,99%
+18777795615,toll_free,99%
+18777796943,toll_free,99%
+18777853720,toll_free,99%
+18777909946,toll_free,99%
+18777925550,toll_free,99%
+18777943334,toll_free,99%
+18777944119,toll_free,99%
+18777946168,toll_free,99%
+18777973441,toll_free,99%
+18777993320,toll_free,99%
+18778001110,toll_free,99%
+18778013105,toll_free,99%
+18778048026,toll_free,99%
+18778128695,toll_free,99%
+18778135595,toll_free,99%
+18778142705,toll_free,99%
+18778170014,toll_free,99%
+18778207916,toll_free,99%
+18778259647,toll_free,99%
+18778294692,toll_free,99%
+18778322482,toll_free,99%
+18778361445,toll_free,99%
+18778413578,toll_free,99%
+18778434662,toll_free,99%
+18778535247,toll_free,99%
+18778535257,toll_free,99%
+18778603058,toll_free,99%
+18778614978,toll_free,99%
+18778669517,toll_free,99%
+18778673531,toll_free,99%
+18778683355,toll_free,99%
+18778687916,toll_free,99%
+18778688320,toll_free,99%
+18778688480,toll_free,99%
+18778693645,toll_free,99%
+18778697997,toll_free,99%
+18778700674,toll_free,99%
+18778717591,toll_free,99%
+18778718505,toll_free,99%
+18778785996,toll_free,99%
+18778810338,toll_free,99%
+18778811941,toll_free,99%
+18778829016,toll_free,99%
+18778879615,toll_free,99%
+18778888266,toll_free,99%
+18778940300,toll_free,99%
+18778973795,toll_free,99%
+18778977066,toll_free,99%
+18778987265,toll_free,99%
+18779001213,toll_free,99%
+18779211213,toll_free,99%
+18779291113,toll_free,99%
+18779293247,toll_free,99%
+18779377148,toll_free,99%
+18779512500,toll_free,99%
+18779575377,toll_free,99%
+18779776889,toll_free,99%
+18882071231,toll_free,99%
+18882082737,toll_free,99%
+18882140036,toll_free,99%
+18882205530,toll_free,99%
+18882257159,toll_free,99%
+18882286654,toll_free,99%
+18882317445,toll_free,99%
+18882378289,toll_free,99%
+18882402560,toll_free,99%
+18882446293,toll_free,99%
+18882461076,toll_free,99%
+18882467822,toll_free,99%
+18882474080,toll_free,99%
+18882580401,toll_free,99%
+18882624273,toll_free,99%
+18882667317,toll_free,99%
+18882790967,toll_free,99%
+18882992973,toll_free,99%
+18883087071,toll_free,99%
+18883100188,toll_free,99%
+18883174436,toll_free,99%
+18883257227,toll_free,99%
+18883286399,toll_free,99%
+18883338452,toll_free,99%
+18883503035,toll_free,99%
+18883541270,toll_free,99%
+18883571739,toll_free,99%
+18883643065,toll_free,99%
+18883731969,toll_free,99%
+18883828056,toll_free,99%
+18883908233,toll_free,99%
+18884083287,toll_free,99%
+18884114905,toll_free,99%
+18884131892,toll_free,99%
+18884141045,toll_free,99%
+18884210060,toll_free,99%
+18884231992,toll_free,99%
+18884264435,toll_free,99%
+18884266840,toll_free,99%
+18884277458,toll_free,99%
